group_name,debut_date,debut_year,debut_month,debut_day,link
(M)IRROR,2023-05-12,2023,May,12,https://kprofiles.com/mirror-members-profile
100%,2012-09-21,2012,September,21,https://kprofiles.com/100-members-profile
10X10,2015-07-22,2015,July,22,https://kprofiles.com/10x10-profile-facts
13Found,2024-11-13,2024,November,13,https://kprofiles.com/13found-members-profile
14U,2017-07-22,2017,July,22,https://kprofiles.com/14u-members-profile
1NB,2017-11-29,2017,November,29,https://kprofiles.com/1nb-members-profile
1PS,2014-03-03,2014,March,3,https://kprofiles.com/1ps-members-profile
1TEAM,2019-03-27,2019,March,27,https://kprofiles.com/1team-members-profile
1TensioN,2015-08-24,2015,August,24,https://kprofiles.com/1tension-members-profile
1THE9,2019-04-13,2019,April,13,https://kprofiles.com/1-the-9-members-profile
1VERSE,2025-07-18,2025,July,18,https://kprofiles.com/sb-boyz-profile
24K+,2012-09-06,2012,September,6,https://kprofiles.com/24k-members-profile
2EYES,2013-06-20,2013,June,20,https://kprofiles.com/2eyes-profile-facts
2Wenty’s,2017-04-20,2017,April,20,https://kprofiles.com/2wentys-members-profile
2Z,2020-01-14,2020,January,14,https://kprofiles.com/2z-members-profile
3piece,2024-08-05,2024,August,5,https://kprofiles.com/3piece-members-profile
3WAY,2025-02-27,2025,February,27,https://kprofiles.com/3way-www-profile-and-facts/
3YE,2019-05-21,2019,May,21,https://kprofiles.com/3ye-profile-facts
4G,2014-02-04,2014,February,4,https://kprofiles.com/4g-members-profile
4L,2014-08-04,2014,August,4,https://kprofiles.com/4l-members-profile
4TEN,2014-08-26,2014,August,26,https://kprofiles.com/4ten-members-profile
4X4,2025-07-19,2025,July,19,https://kprofiles.com/4x4-members-profile
5URPRISE,2014-11-18,2014,November,18,https://kprofiles.com/5urprise-members-profile
82MAJOR,2023-10-11,2023,October,11,https://kprofiles.com/82major-members-profile
84LY,2012-09-30,2012,September,30,https://kprofiles.com/84ly-profile-facts
8TURN,2023-01-30,2023,January,30,https://kprofiles.com/8turn-members-profile
A Train to Autumn,2018-11-05,2018,November,5,https://kprofiles.com/train-autumn-members-profiles-facts
A-Daily,2014-12-03,2014,December,3,https://kprofiles.com/a-daily-members-profile
A-JAX,2012-06-01,2012,June,1,https://kprofiles.com/ajax-members-profile
A-Seed,2017-04-05,2017,April,5,https://kprofiles.com/seed-members-profile
A.C.E,2017-05-23,2017,May,23,https://kprofiles.com/ace-kpop-boy-group-members-profile
A.Cian,2012-10-10,2012,October,10,https://kprofiles.com/acian-members-profile
A.DE,2016-06-23,2016,June,23,https://kprofiles.com/ade-members-profile
A.H.H.A,2015-09-25,2015,September,25,https://kprofiles.com/h-h-members-profile
A.KOR,2014-09-05,2014,September,5,https://kprofiles.com/akor-members-profile
A.N.D.S,2014-09-15,2014,September,15,https://kprofiles.com/a-n-d-s-members-profile
AB6IX,2019-05-22,2019,May,22,https://kprofiles.com/ab6ix-members-profile
ABLUE,2022-10-23,2022,October,23,https://kprofiles.com/ablue-members-profile
ablume,2025-05-09,2025,May,9,https://kprofiles.com/ablume-members-profile
ABRY,2017-11-15,2017,November,15,https://kprofiles.com/abry-members-profile/
ACE,2015-09-11,2015,September,11,https://kprofiles.com/ace-profile-facts
ADYA,2023-05-09,2023,May,9,https://kprofiles.com/adya-members-profile
aespa,2020-11-17,2020,November,17,https://kprofiles.com/aespa-profile
AFOS,2016-05-20,2016,May,20,https://kprofiles.com/afos-members-profiles
AGIRLS,2013-10-21,2013,October,21,https://kprofiles.com/agirls-profile-facts
AHOF,2025-07-01,2025,July,1,https://kprofiles.com/ahof-members-profile
Aila,2014-01-15,2014,January,15,https://kprofiles.com/aila-members-profile
AIMERS,2022-11-17,2022,November,17,https://kprofiles.com/aimers-profile-and-facts
AiRiSU,2018-07-25,2018,July,25,https://kprofiles.com/airisu-members-profile
Airplane,2012-01-04,2012,January,4,https://kprofiles.com/airplane-members-profile
ALICE,2017-06-01,2017,June,1,https://kprofiles.com/elris-members-profile
Alice White,2014-03-31,2014,March,31,https://kprofiles.com/alice-white-members-profile
ALiKE,2018-08-25,2018,August,25,https://kprofiles.com/alike-members-profile
ALL(H)OURS,2024-01-10,2024,January,10,https://kprofiles.com/all-hours-members-profile
ALLDAY PROJECT,2025-06-23,2025,June,23,https://kprofiles.com/allday-project-members-profile/
AlphaBAT,2013-11-14,2013,November,14,https://kprofiles.com/alphabat-members-profile-facts
AltheA,2013-05-13,2013,May,13,https://kprofiles.com/althea-members-profile
AM8IC,2025-11-10,2025,November,10,https://kprofiles.com/am8ic-members-profile
AMOR,2017-08-10,2017,August,10,https://kprofiles.com/amor-members-profile
AMPERS&ONE,2023-11-15,2023,November,15,https://kprofiles.com/ampersone-members-profile
ANS,2019-09-16,2019,September,16,https://kprofiles.com/ans-profile-facts
AOA,2012-08-09,2012,August,9,https://kprofiles.com/aoa-members-profile
APEX,2018-06-16,2018,June,16,https://kprofiles.com/like-movie-members-profile/
API,2019-04-18,2019,April,18,https://kprofiles.com/ho1iday-members-profile
Apple.B,2017-08-01,2017,August,1,https://kprofiles.com/apple-b-members-profile
APRIL,2015-08-24,2015,August,24,https://kprofiles.com/april-members-profile
AQA,2022-04-16,2022,April,16,https://kprofiles.com/aqa-members-profile
AREAL,2020-08-21,2020,August,21,https://kprofiles.com/areal-members-profile
ARGON,2019-03-11,2019,March,11,https://kprofiles.com/argon-members-profile-facts
ARIAZ,2019-10-24,2019,October,24,https://kprofiles.com/ariaz-member-profile
ARrC,2024-08-19,2024,August,19,https://kprofiles.com/arrc-members-profile
ARTBEAT v,2022-11-16,2022,November,16,https://kprofiles.com/artbeat-v-members-profile/
ARTMS,2024-05-31,2024,May,31,https://kprofiles.com/artms-members-profile
ARVVY,2025-10-30,2025,October,30,https://kprofiles.com/arvvy-member-profile
ASC2NT,2024-05-07,2024,May,7,https://kprofiles.com/asc2nt-members-profile
Asha,2015-06-19,2015,June,19,https://kprofiles.com/asha-members-profile
Asia GirlS,2021-11-18,2021,November,18,https://kprofiles.com/asia-girls-members-profile
Asome.D,2020-10-19,2020,October,19,https://kprofiles.com/asome-d-profile-facts
ASTELL,2024-07-09,2024,July,9,https://kprofiles.com/astell-members-profile-and-facts
ASTIN,2019-03-07,2019,March,7,https://kprofiles.com/astin-members-profile
ASTRO,2016-02-23,2016,February,23,https://kprofiles.com/astro-members-profile
ATBO,2022-07-27,2022,July,27,https://kprofiles.com/abo-members-profile-and-facts
ATEEZ,2018-10-24,2018,October,24,https://kprofiles.com/kq-fellaz-members-profile
AtHeart,2025-08-13,2025,August,13,https://kprofiles.com/atheart-members-profile
ATO6,2021-02-24,2021,February,24,https://kprofiles.com/ato6-members-profile/
ATT,2015-10-07,2015,October,7,https://kprofiles.com/att-members-profile
Awe5someBaby,2015-06-15,2015,June,15,https://kprofiles.com/awe5omebaby-members-profile/
AWEEK,2019-01-31,2019,January,31,https://kprofiles.com/aweek-profile-facts
AWESOME,2017-02-16,2017,February,16,https://kprofiles.com/awesome-members-profile
AWIN,2025-02-16,2025,February,16,https://kprofiles.com/awin-members-profile
AxisB,2016-09-28,2016,September,28,https://kprofiles.com/axisb-members-profile/
AZER,2021-03-04,2021,March,4,https://kprofiles.com/azer-members-profile
Azer-Blossom,2021-09-01,2021,September,1,https://kprofiles.com/azer-blossom-members-profile
AZM,2018-03-02,2018,March,2,https://kprofiles.com/azm-members-profile
B-OURS,2024-05-16,2024,May,16,https://kprofiles.com/b-ours-members-profile
B.A.P,2012-01-26,2012,January,26,https://kprofiles.com/b-a-p-members-profile
B.D.U,2024-06-26,2024,June,26,https://kprofiles.com/mnet-build-up-final-lineup-members-profile
B.HEART,2017-01-25,2017,January,25,https://kprofiles.com/b-heart-members-profile
B.I.G,2014-07-08,2014,July,8,https://kprofiles.com/b-g-members-profile
BaBa,2016-02-25,2016,February,25,https://kprofiles.com/baba-members-profile
Baby Boo,2015-06-05,2015,June,5,https://kprofiles.com/baby-boo-members-profile
Baby DONT Cry,2025-06-23,2025,June,23,https://kprofiles.com/baby-dont-cry-members-profile
BABYMONSTER,2023-11-27,2023,November,27,https://kprofiles.com/babymonster-members-profile
Babys,2023-06-20,2023,June,20,https://kprofiles.com/babys-members-profile/
BADKIZ,2014-03-14,2014,March,14,https://kprofiles.com/hot-place-member-profile/
BADKIZ,2019-03-29,2019,March,29,https://kprofiles.com/hot-place-member-profile/
BADVILLAIN,2024-06-03,2024,June,3,https://kprofiles.com/badvillain-members-profile
BAE173,2020-11-19,2020,November,19,https://kprofiles.com/mbk-boys-profile-facts
BAIKAL,2017-09-21,2017,September,21,https://kprofiles.com/baikal-members-profile
Bambino,2015-06-23,2015,June,23,https://kprofiles.com/bambino-members-profile
Bandage,2020-04-03,2020,April,3,https://kprofiles.com/bandage-members-profile
Bay.B,2014-05-16,2014,May,16,https://kprofiles.com/bay-b-members-profile
BBde Girl,2012-09-20,2012,September,20,https://kprofiles.com/bbde-girl-members-profile
BBGIRLS,2023-08-03,2023,August,3,https://kprofiles.com/bbgirls-members-profile
BDC,2019-10-29,2019,October,29,https://kprofiles.com/bdc-member-profile-facts
BE BOYS,2025-06-18,2025,June,18,https://kprofiles.com/be-boys-members-profile
BE:MAX,2018-12-01,2018,December,1,https://kprofiles.com/bemax-members-profile
Be.A,2014-01-07,2014,January,7,https://kprofiles.com/be-a-members-profile
BEATWIN,2014-01-06,2014,January,6,https://kprofiles.com/beatwin-members-profile
Beauty Box,2021-09-23,2021,September,23,https://kprofiles.com/beauty-box-members-profile
BEBE6,2017-08-10,2017,August,10,https://kprofiles.com/bebe6-members-profile
Bebop,2014-01-14,2014,January,14,https://kprofiles.com/bebop-members-profile
Berry Chu,2017-03-27,2017,March,27,https://kprofiles.com/berry-chu-members-profile
Berry Good,2014-05-21,2014,May,21,https://kprofiles.com/berry-good-members-profile
BESTie,2013-07-11,2013,July,11,https://kprofiles.com/bestie-members-profile
Big Ocean,2024-04-20,2024,April,20,https://kprofiles.com/big-ocean-members-profile-facts
Bigflo,2014-06-23,2014,June,23,https://kprofiles.com/bigflo-members-profile
BIGSTAR,2012-07-12,2012,July,12,https://kprofiles.com/bigstar-members-profile
Billion,2014-03-20,2014,March,20,https://kprofiles.com/billion-members-profile
Billlie,2021-11-10,2021,November,10,https://kprofiles.com/mystic-story-girls-profile-facts
Black Bunny,2019-06-03,2019,June,3,https://kprofiles.com/black-bunny-members-profile
BLACK LEVEL,2022-02-26,2022,February,26,https://kprofiles.com/black-level-profile-and-facts
BLACK6IX,2017-04-07,2017,April,7,https://kprofiles.com/black6ix-members-profile
BLACKPINK,2016-08-08,2016,August,8,https://kprofiles.com/black-pink-members-profile
