Stage Name,Full Name,Korean Name,Korean Stage Name,Date of Birth,group_name,Country,Second Country,Gender
Nichkhun,Nichkhun Horvejkul,닛차쿤 허라웻차꾼,닉쿤,1988-06-24,14:00,Thailand,USA,M
Minnie,Nicha Yontararak,니차 욘타라락,민니,1997-10-23,i-dle,Thailand,,F
Shuhua,Yeh Shuhua,예슈화,슈화,2000-01-06,i-dle,Taiwan,,F
Yuqi,Song Yuqi,송우기,우기,1999-09-23,i-dle,China,,F
Loudi,Won Jihoon,원지훈,로우디,1996-04-13,14U,Indonesia,"South Korea, China",M
Hui,Liang Hui,양휘,양휘,1995-07-18,24K,China,,M
Andy,Lui Chunyeung,루이쯔양,앤디,1994-10-06,7 O'clock,Hong Kong,,M
Jaeyun,Moon Jaeyun,문재윤,재윤,2002-07-02,8TURN,New Zealand,South Korea,M
Giselle,Uchinaga Aeri,우치나가 애리,지젤,2000-10-30,aespa,Japan,,F
Ningning,Ning Yizhuo,닝이쭤,닝닝,2002-10-23,aespa,China,,F
Brian,Brian Ho,브라이언 호,브라이언,2002-08-27,AMPERS&ONE,Canada,China,M
Kamden,Kamden Winston Na,캠든 윈스턴 나,캠든,2001-06-09,AMPERS&ONE,USA,South Korea,M
Kyrell,Kyrell Choi,카이렐 초이,카이렐,2005-07-03,AMPERS&ONE,USA,South Korea,M
Mackiyah,Mackiah Yejun Mercer,마카야 예준 머서,마카야,2006-01-21,AMPERS&ONE,Australia,South Korea,M
Benji,Baek Jaewook,배제욱,벤지,1992-05-03,B.I.G,USA,South Korea,M
Asa,Enami Asa,에나미 아사,아사,2006-04-17,BABYMONSTER,Japan,,F
Chiquita,Riracha Phondechaphiphat,리라차 폰데차피팟,치키타,2009-02-17,BABYMONSTER,Thailand,,F
Pharita,Pharita Chaikong,파리따 차이콩,파리타,2005-08-26,BABYMONSTER,Thailand,,F
Ruka,Kawai Ruka,카와이 루카,루카,2002-03-20,BABYMONSTER,Japan,,F
Haruna,Osato Haruna,오사토 하루나,하루나,2006-01-30,Billlie,Japan,,F
Tsuki,Fukutomi Tsuki,후쿠토미 츠키,츠키,2002-09-21,Billlie,Japan,,F
Lisa,Pranpriya Manoban,쁘란쁘리야 마노반,리사,1997-03-27,BLACKPINK,Thailand,,F
Fatou,Fatou Samba,파투 삼바,파투,1995-03-23,Blackswan,Belgium,Senegal,F
Gabi,Gabriela Strassburger Dalcin,가브리엘라 스트라스부르거 달신,가비,2002-11-07,Blackswan,Brazil,Germany,F
Leia,Larissa Kartes,라리사 카르치스,레아,2001-05-14,Blackswan,Brazil,Japan,F
Nvee,Florence Alena Smith,플로렌스 알레나 스미스,앤비,1999-01-10,Blackswan,USA,,F
Sriya,Sriya Lenka,스리야 렌카,스리야,2003-09-15,Blackswan,India,,F
Tina,Christine Joy Park,크리스틴 조이 박,티나,1994-09-01,Blady,USA,South Korea,F
Mikey,Morisaki Daisuke,모리사키 다이스케,마이키,2001-05-05,BLANK2Y,Japan,,M
U,Sun Hengyu,쑨헝위,유,2001-06-22,BLANK2Y,China,,M
Ayamy,Suzuki Ayami,스즈키 아야미,아야미,2000-07-15,Bling Bling,Japan,,F
Marin,Yasufuku Marin,야스후쿠 마린,마린,2001-03-17,Bling Bling,Japan,,F
Ria,Kuwayama Ria,쿠와야마 리아,리아,1998-02-03,BOTOPASS,Japan,,F
Yoona,Ogura Yuuna,오구라 유우나,유우나,2000-10-13,bugAboo,Japan,,F
May,Hirokawa Mao,히로카와 마오,메이,2004-11-16,Cherry Bullet,Japan,,F
Remi,Katsuno Rise,카츠노 리세,레미,2001-04-26,Cherry Bullet,Japan,,F
Keita,Terazono Keita,테라조노 케이타,케이타,2001-07-04,Ciipher,Japan,,M
Sorn,Chonnasorn Sajakul,촌나손 사짜꾼,손,1996-11-18,CLC,Thailand,,F
Sang,Cui Xiang,최상,상,1995-01-26,Clear:I,China,,F
Allen,Allen Ma,앨런 마,앨런,1999-04-26,CRAVITY,USA,South Korea,M
Casper,Chu Xiaoxiang,저효상,캐스퍼,1991-03-20,CROSS GENE,China,,M
Takuya,Terada Takuya,테라다 타쿠야,타쿠야,1992-03-18,CROSS GENE,Japan,,M
Yuna,Iimura Yuna,이이무라 유나,유나,2005-04-23,CSR,Japan,,F
Yuku,Amanumu Yuku,아마누마 유쿠,유쿠,2002-05-12,DKB,Japan,,M
Handong,Han Dong,한동,한동,1996-03-26,Dreamcatcher,China,,F
Alex,Alexander Schmidt Lee,알렉산더 슈미트 리,알렉스,2004-10-06,DRIPPIN,Germany,South Korea,M
Seita,,,세이타,2003-02-21,DXMON,Japan,,M
Ni-Ki,Nishimura Riki,니시무라 리키,니키,2005-12-09,ENHYPEN,Japan,,M
Yiren,Wang Yiren,왕이런,이런,2000-12-29,Everglow,China,,F
Lay,Zhang Yixing,장이씽,레이,1991-10-07,EXO,China,,M
Amber,Amber Josephine Liu,엠버 조세핀 리우,엠버,1992-09-18,f(x),USA,Taiwan,F
Victoria,Song Qian,송치엔,빅토리아,1987-02-02,f(x),China,,F
Chiayi,Li Chiayi,지아이,지아이,2000-01-22,FANATICS,Taiwan,,F
Hikari,Etani Hikari,에타니 히카리,히카리,2002-01-21,FANTASY BOYS,Japan,,M
Hikaru,Urabe Hikaru,우라베 히카루,히카루,2003-07-14,FANTASY BOYS,Japan,,M
K-Soul,Liu Zekai,류저카이,소울,2000-10-19,FANTASY BOYS,China,,M
Ling Qi,Ling Qi,링치,링치,2002-06-04,FANTASY BOYS,China,,M
Cao Lu,Cao Lu,차오루,차오루,1987-08-30,Fiestar,China,,F
Zoe,Choi Hayoung,최하영,조에,2002-04-12,Geenius,Italia,South Korea,F
Prince,Pasidh Vataniyapromote,파싯 와타니야쁘라못,프린스,2003-01-10,Ghost9,Thailand,,M
Hari,,,하리,2005-04-08,Girls' World,Japan,,F
BamBam,Kunpimook Bhuwakul,꾼삐묵 부와꾼,뱀뱀,1997-05-02,GOT7,Thailand,,M
Jackson,Jackson Wang,잭슨 왕,잭슨,1994-03-28,GOT7,Hong Kong,,M
Mark,Mark Yien Tuan,마크 이엔 투안,마크,1993-09-04,GOT7,USA,Taiwan,M
Sally,Liu Xiening,류셰닝,샐리,1996-10-23,Gugudan,China,,F
Miya,Miyauchi Haruka,미야우치 하루카,미야,1993-05-26,GWSN,Japan,,F
Soso,Wang Chingyi,왕징이,소소,2001-03-14,GWSN,Taiwan,,F
Rui,Watanabe Rui,와타나베 루이,루이,1994-10-08,H.U.B,Japan,,F
Carmen,Nyoman Ayu Carmenita,뇨만 아유 카르메니타,카르멘,2006-03-28,Hearts2Hearts,Indonesia,,F
Miko,Matsuda Miko,마츠다 미코,미코,1995-10-28,Honey Popcorn,Japan,,F
Moko,Sakura Moko,사쿠라 모코,모코,1991-03-19,Honey Popcorn,Japan,,F
Yua,Mikami Yua,미카미 유아,유아,1993-08-16,Honey Popcorn,Japan,,F
Mayna,Simone Shaoxi Mengna,시몬느 샤오시 멍나,메이나,2000-05-12,HOT ISSUE,China,Romania,F
Jackie,Kang Chaeyeon,강채연,재키,2001-11-17,ICHILLIN',USA,South Korea,F
Joonie,Park Junhee,박준희,주니,2002-05-24,ICHILLIN',USA,South Korea,F
Iroha,Hokazuno Iroha,호카조노 이로하,이로하,2008-02-04,ILLIT,Japan,,F
