group_name,alt_name,Korean Name,Debut,Company,Members,Orig. Memb.,Active
XD,XEED,씨드,2022-12-01,Nature Space,3,4,Yes
XENO-T,ToppDogg,탑독,2013-10-22,"Stardom, Hunus",5,13,No
100%,,백퍼센트,2012-09-18,TOP Media,4,7,Yes
14U,,원포유,2017-04-17,BG,14,14,No
15&,,피프틴앤드,2012-10-05,JYP,2,2,No
1TEAM,,원팀,2019-03-27,LiveWorks,5,5,No
1the9,,원더나인,2019-02-09,MBK,9,9,Yes
24K,,투포케이,2012-09-06,Choeun,5,6,Yes
2EYES,,투아이즈,2013-07-20,SidusHQ,4,5,No
2Z,Tuzi,투지,2020-01-14,Morph,5,5,Yes
3YE,,써드아이,2019-05-21,GH,3,3,Yes
4TEN,,포텐,2014-08-26,Jungle,4,4,No
8TURN,,에잇턴,2023-01-30,MNH,8,8,Yes
A-JAX,,에이젝스,2012-06-01,DSP,5,7,No
A.C.E,ACE,에이스,2017-05-23,Beat,5,5,Yes
A.cian,,에이션,2012-10-10,Wings,4,5,No
A.DE,,에이디이,2016-07-23,2ABLE,6,7,No
A6P,,에이식스피,2015-05-20,DS,6,6,No
AB6IX,,에이비식스,2019-05-22,Brand New,4,5,Yes
ABLUE,,에이블루,2022-10-23,J-Star,7,6,Yes
ABRY,,에이브리,2017-11-15,withHC,4,4,Yes
ADYA,,에이디야,2023-05-09,Starting House,5,5,Yes
aespa,æspa,에스파,2020-11-17,SM,4,4,Yes
AIMERS,,에이머스,2022-11-17,Hyper Rhythm,6,6,Yes
AiRiSu,,아이리수,2018-07-25,Jang,4,4,No
ALICE,ELRIS,앨리스,2017-07-01,IOK Company,7,5,Yes
AlphaBat,,알파벳,2013-11-14,Simtong,5,9,Yes
AMPERS&ONE,,앰퍼샌드원,2023-11-15,FNC,7,7,Yes
ANS,,에이엔에스,2019-09-16,ANS,8,6,No
ANTARES,,안타레스,2023-04-16,J-Star,6,6,Yes
AOA,,에이오에이,2012-07-30,FNC,4,8,Yes
API,,에이피아이,2019-04-19,BRICKWORKS,5,5,Yes
Apple.B,,애플비,2017-08-01,GH,5,5,No
April,,에이프릴,2015-08-24,DSP,6,6,No
AREAL,,에이리얼,2020-08-21,JZ Factory,4,4,No
ARGON,,아르곤,2019-03-11,MSH,6,6,Yes
Ariaz,,아리아즈,2019-10-23,Rising Star,6,6,No
ARTBEAT v,,아트비트,2022-11-16,AB Creative,5,7,Yes
ASTRO,,아스트로,2016-02-23,Fantagio,4,6,Yes
ATBO,,에이티비오,2022-07-27,IST,7,7,Yes
ATEEZ,,에이티즈,2018-10-24,KQ,8,8,Yes
AWEEK,,어위크,2019-01-31,Illusion,7,7,Yes
B.A.P,BAP,비에이피,2012-01-27,TS,6,6,No
B.Heart,,비하트,2017-01-25,Poong,4,4,Yes
B.I.G,,비아이지,2014-07-09,GH,4,5,Yes
B.O.Y,,비오브유,2020-01-20,Music Works,2,2,Yes
BABYMONSTER,,베이비몬스터,2023-11-27,YG,7,7,Yes
Badkiz,,배드키즈,2014-03-24,Zoo,5,5,No
BAE173,,비에이이173,2020-11-19,PocketDol,9,9,Yes
Be.A,,비에이,2017-05-25,Chrome,3,5,Yes
Beatwin,,비트윈,2014-01-06,Elen,2,6,Hiatus
Berry Good,,베리굿,2014-05-21,Asia Bridge,6,5,No
BESTie,,베스티,2013-07-11,YNB,4,4,No
Bigflo,,빅플로,2014-07-19,HO,5,5,Yes
BIGSTAR,,빅스타,2012-07-12,Brave,5,5,No
Billlie,,빌리,2021-11-10,MYSTIC,7,6,Yes
Black Level,,블랙 레벨,2022-02-26,VT,2,6,Hiatus
BLACK6IX,,블랙식스,2017-04-07,BLACK HOLE,6,6,Yes
BLACKPINK,,블랙핑크,2016-08-08,YG,4,4,Yes
BlackSwan,,블랙스완,2020-10-16,DR,5,5,Yes
Blanc7,,블랑세븐,2017-03-03,Jackpot,7,7,No
BLANK2Y,,블랭키,2022-05-24,Keystone,9,9,Yes
Blastar,,블레스타,2020-07-31,VH,5,5,No
Bling Bling,,블링블링,2020-11-17,Major9,6,6,Yes
BLITZERS,,블리처스,2021-05-12,Wuzo,7,7,Yes
BLK,,비엘케이,2017-11-28,Byking,7,7,No
Bloomy,,블루미,2016-02-01,DS,4,4,Yes
Bob Girls,,단발머리,2014-06-10,Chrome,4,4,No
Bolbbalgan4,BOL4,볼빨간사춘기,2016-04-22,Shofar,1,2,Yes
Bonus Baby,,보너스베이비,2017-01-01,Maroo,6,6,No
BOTOPASS,,보토패스,2020-08-26,WKS ENE,8,8,Yes
BOYNEXTDOOR,,보이넥스트도어,2023-05-30,KOZ,6,6,Yes
Boys Republic,,소년공화국,2013-06-03,"Happy Tribe, Universal",5,5,Hiatus
BTOB,,비투비,2012-03-21,Cube,6,7,Yes
BTS,Bangtan Boys,방탄소년단,2013-06-13,Big Hit,7,7,Yes
bugAboo,,버가부,2021-10-25,A team,6,6,No
Bulldok,,불독,2016-10-20,Kconic,5,3,No
Bunny.T,,바니티,2023-06-19,W2,4,4,Yes
Busters,,버스터즈,2017-11-27,JTG,5,5,Yes
BVNDIT,,밴디트,2019-04-10,MNH,5,5,Yes
