group_name,debut_date,group_type,num_members,num_foreigners,has_foreigner,company,foreign_countries,spotify_streams
1VERSE,18.07.2025,M,5,4,1,Singing Beetle,"China, North Korea, USA",103527
3YE,21.05.2019,F,3,0,0,GH,,17930
4L,04.08.2014,F,4,0,0,Jade Contents Media,,NaN
82MAJOR,11.10.2023,M,6,1,1,Great M,Canada,267442
8TURN,30.01.2023,M,8,1,1,MNH,New Zealand,236635
A.C.E,23.05.2017,M,5,0,0,BEAT Interactive,,186742
AB6IX,22.05.2019,M,5,0,0,Brand New,,194820
ablume,09.05.2025,F,3,0,0,MASSIVE E&C,,51637
aespa,17.11.2020,F,4,2,1,SM,"China, Japan",9819613
AHOF,01.07.2025,M,9,4,1,F&F,"China, Japan, Philippines, Taiwan",171317
ALL(H)OURS,10.01.2024,M,7,1,1,EDEN,Japan,295189
ALLDAY PROJECT,23.06.2025,C,5,0,0,THEBLACKLABEL,,3009816
ANS,16.09.2019,F,8,0,0,ANS,,NaN
AOA,09.08.2012,F,8,0,0,FNC,,3048314
APRIL,24.08.2015,F,6,0,0,DSP,,145445
ARrC,19.08.2024,M,7,4,1,MYSTIC STORY,"Brazil, Japan, USA, Vietnam",40974
ARTMS,31.05.2024,F,5,0,0,MODHAUS,,289482
ASC2NT,07.05.2024,M,5,0,0,NEWWAYS COMPANY,,39337
ASTRO,23.02.2016,M,6,0,0,Fantagio,,525590
ATEEZ,24.10.2018,M,8,0,0,KQ,,4472403
AtHeart,13.08.2025,F,7,3,1,Titan Content,"Japan, Philippines, USA",369891
B.A.P,26.01.2012,M,6,0,0,TS,,225567
Baby DONT Cry,23.06.2025,F,4,2,1,P NATION,Japan,205776
BABYMONSTER,27.11.2023,F,7,4,1,YG,"Japan, Thailand",7249978
BADVILLAIN,03.06.2024,F,7,2,1,BPM,"Australia, Canada",282689
BAE173,19.11.2020,M,9,0,0,PocketDol,,32454
BBGIRLS,03.08.2023,F,3,0,0,BBGIRLS,,30202
BESTie,11.07.2013,F,4,0,0,YNB,,58849
Big Ocean,20.04.2024,M,3,0,0,PARASTAR,,97589
Billlie,10.11.2021,F,6,2,1,MYSTIC,Japan,375935
BLACKPINK,08.08.2016,F,4,1,1,YG,Thailand,27672937
BLACKSWAN,16.10.2020,F,5,4,1,DR,"Belgium, Brazil, India, USA",71918
BLITZERS,12.05.2021,M,7,0,0,Wuzo,,42116
BOYNEXTDOOR,30.05.2023,M,6,0,0,KOZ,,2417744
BTOB,21.03.2012,M,7,1,1,Cube,USA,763257
BTS,13.06.2013,M,7,0,0,BIGHIT MUSIC,,33382465
bugAboo,25.10.2021,F,6,2,1,A team,"Japan, Taiwan",NaN
BVNDIT,10.04.2019,F,5,0,0,MNH,,51707
C-CLOWN,19.07.2012,M,6,1,1,Yedang,Australia,47355
Cherry Bullet,21.01.2019,F,10,4,1,FNC,"Japan, Taiwan",160005
cignature,03.02.2020,F,7,0,0,C9,,47180
CIX,23.07.2019,M,5,0,0,C9,,262970
CLASS:y,05.05.2022,F,7,0,0,Universal,,96279
CLC,19.03.2015,F,5,2,1,Cube,"Hong Kong, Thailand",480193
CLOSE YOUR EYES,02.04.2025,M,7,3,1,UNCORE,"China, Japan, Thailand",531058
CORTIS,18.08.2025,M,5,2,1,BIGHIT MUSIC,"Canada, Taiwan",7251337
CRAVITY,14.04.2020,M,9,1,1,Starship,USA,228565
